isocode     motorway    pmary        residential  secondary   serviceother  tertiary     trunk       unclassified
MX          44738448.0  143914592.0  221726976.0  88719176.0  69483360.0    119653920.0  46603856.0  67968624.0  
CA          46985940.0  211405488.0  251680192.0  203551872.  344558976.0   431640768.0  84637776.0  351379648.0 
GT          0.0         21205.5      14645.0      42223.5     34458.75      276750.0     0.0         11765.0     
US          604648704.  1040994816.  6417263616.  1055284160  2490970624.0  1398988800.  399705472.  367903456.0 
RU          0.0         748170.5     29377.0      0.0         610963.0      1067956.5    0.0         97422.5     
BM          0.0         289033.5     270378.0     49902.0     123867.0      15306.0      0.0         91550.0     
GL          0.0         1218678.5    175995.0     68245.0     836184.0      105325.0     0.0         150741.0        
PM          0.0         134185.0     13709.0      0.0         37523.0       0.0          0.0         21053.0     
BZ          0.0         7194.0       3229.0       68.0        2488.0        59988.0      0.0         49889.0
